"","Account","Type","Date","Num","Name","Memo","Split","Debit","Credit","Balance"
"2","Company Checking Account","Check","2018-01-01","5001","Kuver Property","Janaury Rent","Rent",NA,583.75,11765.25
"3","Company Checking Account","Check","2018-01-01","5000","Online Accounting","Set up QuickBooks file","Accounting Fees",NA,225,11540.25
"4","Company Checking Account","Deposit","2018-01-01",NA,NA,"Deposit","-SPLIT-",31349,NA,42889.25
"5","Company Checking Account","Check","2018-01-05","5002","Deborah Wood (Owner)","Petty Cash","Petty Cash Account",NA,500,42389.25
"6","Company Checking Account","Check","2018-01-08","5003","Gas & Electic Company","ACCT# 098703","Utilities",NA,65.08,42324.17
"7","Company Checking Account","Paycheck","2018-01-15","3001","King, Vicki",NA,"-SPLIT-",NA,167.72,42156.45
"8","Company Checking Account","Check","2018-01-15","5007","Automobile Loan Company","Car lease","Car Lease",NA,563,41593.45
"9","Company Checking Account","Paycheck","2018-01-15","3003","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,41282.67
"10","Company Checking Account","Paycheck","2018-01-15","3004","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,41063.71
"11","Company Checking Account","Check","2018-01-22","5011","Office Supply Store","Acct# 27804","Supplies",NA,634.21,40429.5
"12","Company Checking Account","Check","2018-01-22","5010","Local Phone Company","6503221414","Telephone",NA,253,40176.5
"13","Company Checking Account","Check","2018-01-22","5008","Cell Phone Company","Cell","Telephone",NA,101.18,40075.32
"14","Company Checking Account","Check","2018-01-22","5009","Fisse Fast Package Delivery","ACCT# 256044025","Postage and Delivery",NA,78,39997.32
"15","Company Checking Account","Check","2018-01-25","5013","Gretton Insurance Co.","WC Policy # 87023 Jan07","-SPLIT-",NA,231.84,39765.48
"16","Company Checking Account","Check","2018-01-25","5014","Payroll Service Co."," Payroll","Payroll Service Fees",NA,127.08,39638.4
"17","Company Checking Account","Check","2018-01-25","5015","Pace Shipping Supplies","Acct# 45980","Office Equipment",NA,25,39613.4
"18","Company Checking Account","Check","2018-01-25","5017","Health Insurance Co.","Employee Health Insurance Policy#258BVF4","-SPLIT-",NA,543.83,39069.57
"19","Company Checking Account","Check","2018-01-25","5016","Deborah Wood (Owner)","13103 Exp Report","Travel",NA,55.23,39014.34
"20","Company Checking Account","Check","2018-01-25","5012","King, Vicki",NA,"Meals and Entertainment",NA,55,38959.34
"21","Company Checking Account","Check","2018-01-25","5018","Novello Lights Magazine","Q1 07 Ad","Advertising Expense",NA,500,38459.34
"22","Company Checking Account","Check","2018-01-26","5019","Deborah Wood (Owner)","Owners Draw","Deborah Wood Draws",NA,10500,27959.34
"23","Company Checking Account","Check","2018-01-29","5020","Credit Card","ACCT# 3786401297855001","QuickBooks Credit Card",NA,95.71,27863.63
"24","Company Checking Account","Check","2018-01-29","5021","Gretton Insurance Co.","Liability Ins. Policy#203654","Prepaid Insurance",NA,6875,20988.63
"25","Company Checking Account","Deposit","2018-01-30",NA,NA,"Deposit","-SPLIT-",3064,NA,24052.63
"26","Company Checking Account","Check","2018-01-31","5024","Jeff's Janitorial","Jan07","Maintenance/Janitorial",NA,200,23852.63
"27","Company Checking Account","Check","2018-01-31","5025","Lawson Professional Seminars, Inc.","Spring Seminar #407","Conferences and Seminars",NA,1000,22852.63
"28","Company Checking Account","Check","2018-01-31","5026","Gretton Insurance Co.","Policy # 14B09 Jan07","General Liability Insurance",NA,230,22622.63
"29","Company Checking Account","Check","2018-01-31","5027","Professional Association","07 Annual dues","Dues and Subscriptions",NA,500,22122.63
"30","Company Checking Account","Check","2018-01-31","5028","Professional Association","07 Annual dues","Dues and Subscriptions",NA,350,21772.63
"31","Company Checking Account","Check","2018-01-31","5022","Automobile Insurance Company","Auto Insurance Policy # 14906","Insurance-Auto",NA,120,21652.63
"32","Company Checking Account","Check","2018-01-31","5023","Jonathan Graham (reimbursments)","13103 Expense Report","-SPLIT-",NA,223.15,21429.48
"33","Company Checking Account","Check","2018-02-01","5029","Kuver Property","February Rent","Rent",NA,583.75,20845.73
"34","Company Checking Account","Paycheck","2018-02-01","3004","King, Vicki",NA,"-SPLIT-",NA,117.72,20728.01
"35","Company Checking Account","Paycheck","2018-02-01","3005","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,20417.23
"36","Company Checking Account","Paycheck","2018-02-01","3006","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,20198.27
"37","Company Checking Account","Check","2018-02-05","5031","Local Bank","Interest on Line of Credit Jan 07","Interest Expense",NA,100.13,20098.14
"38","Company Checking Account","Check","2018-02-05","5030","Gretton Insurance Co.","Feb 07 WC Policy # 87023, Gen Liab. #14B09","-SPLIT-",NA,461.84,19636.3
"39","Company Checking Account","Check","2018-02-07","5032","Gas & Electic Company","ACCT# 098703","Utilities",NA,55.08,19581.22
"40","Company Checking Account","Transfer","2018-02-09",NA,NA,"Funds Transfer","Line of Credit",NA,10000,9581.22
"41","Company Checking Account","Paycheck","2018-02-15","3006","King, Vicki",NA,"-SPLIT-",NA,217.72,9363.5
"42","Company Checking Account","Check","2018-02-15","5037","Automobile Loan Company","Car lease","Car Lease",NA,563,8800.5
"43","Company Checking Account","Liability Check","2018-02-15","5036","Sec125 Administrator","Acct#  870547","SEC125 Payable",NA,50,8750.5
"44","Company Checking Account","Paycheck","2018-02-15","3007","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,8439.72
"45","Company Checking Account","Paycheck","2018-02-15","3008","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,8220.76
"46","Company Checking Account","Deposit","2018-02-15",NA,NA,"Deposit","Undeposited Funds",2381,NA,10601.76
"47","Company Checking Account","Liability Check","2018-02-15","5347","Local Bank","55-5555555","-SPLIT-",NA,600.59,10001.17
"48","Company Checking Account","Deposit","2018-02-17",NA,NA,"Deposit","Undeposited Funds",21330,NA,31331.17
"49","Company Checking Account","Bill Pmt -Check","2018-02-20","3063","Paulsen's Lighting",NA,"Accounts Payable",NA,2520,28811.17
"50","Company Checking Account","Check","2018-02-22","5044","Office Supply Store","Acct# 27804","Supplies",NA,223.56,28587.61
"51","Company Checking Account","Check","2018-02-22","5041","Local Phone Company","6503221414","Telephone",NA,221.47,28366.14
"52","Company Checking Account","Check","2018-02-22","5038","Deborah Wood (Owner)","Petty Cash","-SPLIT-",NA,457.98,27908.16
"53","Company Checking Account","Check","2018-02-22","5040","Legal Firm","ACCT#400259","Legal Fees",NA,400,27508.16
"54","Company Checking Account","Check","2018-02-22","5042","Lincoln Office Equip.",NA,"Office Equipment",NA,450,27058.16
"55","Company Checking Account","Check","2018-02-22","5043","City of Bayshore","business license","Business License & Fees",NA,354,26704.16
"56","Company Checking Account","Check","2018-02-22","5039","County of Middlefield","Personal Property Tax","Business License & Fees",NA,356.23,26347.93
"57","Company Checking Account","Check","2018-02-22","5045","Postmaster","postage","Postage and Delivery",NA,54,26293.93
"58","Company Checking Account","Check","2018-02-22","5046","Fisse Fast Package Delivery","ACCT# 256044025","Postage and Delivery",NA,78,26215.93
"59","Company Checking Account","Check","2018-02-23","5047","Cell Phone Company","Cell","Telephone",NA,98.67,26117.26
"60","Company Checking Account","Check","2018-02-26","5048","Health Insurance Co.","Employee Health Insurance Policy#258BVF4","-SPLIT-",NA,543.83,25573.43
"61","Company Checking Account","Check","2018-02-26","5049","Pace Shipping Supplies","Acct# 45980","Office Equipment",NA,25,25548.43
"62","Company Checking Account","Check","2018-02-26","5050","Payroll Service Co.","Feb Payroll","Payroll Service Fees",NA,132,25416.43
"63","Company Checking Account","Check","2018-02-26","5051","Deborah Wood (Owner)","Owner's Draw","Deborah Wood Draws",NA,12250,13166.43
"64","Company Checking Account","Check","2018-02-28","5053","Jeff's Janitorial","Monthly Fees","Maintenance/Janitorial",NA,200,12966.43
"65","Company Checking Account","Check","2018-02-28","5056","Automobile Insurance Company","Auto Insurance Policy # 14906","Insurance-Auto",NA,120,12846.43
"66","Company Checking Account","Check","2018-02-28","5054","Credit Card","ACCT# 3786401297855001","QuickBooks Credit Card",NA,56,12790.43
"67","Company Checking Account","Bill Pmt -Check","2018-02-28","5052","Fisse Fast Package Delivery","ACCT# 256044025","Accounts Payable",NA,134,12656.43
"68","Company Checking Account","Bill Pmt -Check","2018-02-28","5057","Printing Shop","Inv#","Accounts Payable",NA,255,12401.43
"69","Company Checking Account","Bill Pmt -Check","2018-02-28","5058","Fisse Fast Package Delivery","ACCT# 256044025","Accounts Payable",NA,197,12204.43
"70","Company Checking Account","Bill Pmt -Check","2018-02-28","5055","Printing Shop","Inv#","Accounts Payable",NA,156,12048.43
"71","Company Checking Account","Bill Pmt -Check","2018-02-28","5238","Fisse Fast Package Delivery","ACCT# 256044025","Accounts Payable",NA,164,11884.43
"72","Company Checking Account","Deposit","2018-02-28",NA,NA,"Deposit","-SPLIT-",14072.35,NA,25956.78
"73","Company Checking Account","Check","2018-03-01","5059","Kuver Property","March  Rent","Rent",NA,583.75,25373.03
"74","Company Checking Account","Paycheck","2018-03-01","3008","King, Vicki",NA,"-SPLIT-",NA,117.72,25255.31
"75","Company Checking Account","Paycheck","2018-03-01","3009","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,24944.53
"76","Company Checking Account","Paycheck","2018-03-01","3010","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,24725.57
"77","Company Checking Account","Check","2018-03-05","5060","Local Bank","Interest on Line of Credit Feb 07","Interest Expense",NA,80.47,24645.1
"78","Company Checking Account","Check","2018-03-05","5061","Gretton Insurance Co.","Mar 07 WC Policy # 87023, Gen Liab. #14B09","-SPLIT-",NA,461.84,24183.26
"79","Company Checking Account","Transfer","2018-03-05",NA,NA,"Funds Transfer","Line of Credit",50000,NA,74183.26
"80","Company Checking Account","Bill Pmt -Check","2018-03-05","3064","Foster Lighting",NA,"Accounts Payable",NA,4470,69713.26
"81","Company Checking Account","Bill Pmt -Check","2018-03-05","3065","Hall Lighting & Accessories",NA,"Accounts Payable",NA,6747.5,62965.76
"82","Company Checking Account","Bill Pmt -Check","2018-03-05","3066","Paulsen's Lighting",NA,"Accounts Payable",NA,12812.5,50153.26
